trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-95.30333625754197,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-71.66701926038348,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-147.13314383874845,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-136.04536177509215,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-61.24192281455946,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-121.58463987458654,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-180.04705881209742,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-20.95693834806221,"{0: 29, 1: 2, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,1,-74.1439817693098,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,0.6698186715436382,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,16.71268045272049,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,7.88501733892011,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-79.7637462166353,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-99.81558467300513,"{0: 28, 1: 2, 2: 1, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,20.207080845930655,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,2,-61.662008222227435,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,3,23.703686087982817,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-37.76503101866058,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,25.776607096888775,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,28.704559816694836,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,26.74069896430543,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-54.13895296348831,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,24.50378276543512,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,10,23.681277170854646,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,19,18.0447686749895,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,23.889722794172265,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,19.945451010803534,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,3.154444240894425,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-22.758969066064687,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-16.11433364806285,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
