trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 1}",25,0,-128.79602772849668,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.3, 'e': 1}",30,0,-102.70841781366711,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.3, 'e': 1}",20,0,-31.03198616431604,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.3, 'e': 1}",25,0,-80.80466908215269,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.3, 'e': 1}",20,0,-169.9323423722577,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",0
6,False,"{'a': 0.3, 'e': 1}",20,5,-70.35895077799309,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.3, 'e': 1}",35,2,-136.21294276914222,"{0: 22, 1: 3, 2: 5, 3: 1, 4: 2}",1
8,False,"{'a': 0.3, 'e': 1}",25,0,-173.31011026639533,"{0: 16, 1: 1, 2: 2, 3: 4, 4: 2}",0
9,False,"{'a': 0.3, 'e': 1}",25,0,-158.62443347600046,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.3, 'e': 1}",20,0,-106.17764845151106,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.3, 'e': 1}",20,0,-8.338679254245289,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 1}",20,0,-102.6782572841172,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.3, 'e': 1}",30,0,-113.60303581742626,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.3, 'e': 1}",20,0,-127.0005996935718,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.3, 'e': 1}",20,0,-36.46754988424811,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.3, 'e': 1}",20,0,-161.7524278213109,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.3, 'e': 1}",20,10,-110.97166501717923,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 2}",1
18,False,"{'a': 0.3, 'e': 1}",30,0,-226.8991040879614,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
19,False,"{'a': 0.3, 'e': 1}",20,0,-107.35994887296903,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.3, 'e': 1}",25,0,-34.96073764613063,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.3, 'e': 1}",30,0,-172.3590674974342,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
22,False,"{'a': 0.3, 'e': 1}",20,0,-94.14709718076739,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.3, 'e': 1}",20,6,-57.77493129510947,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
