trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.09607428769831,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-303.2452095148495,"{0: 12, 1: 7, 2: 4, 3: 2, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.49681854456041,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-249.34751755370422,"{0: 8, 1: 5, 2: 7, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.95425940410664,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.41651801839622,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.78254147175537,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.48926195252668,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-180.0798506170452,"{0: 20, 1: 8, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.94134927045779,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.94832216627537,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.8607144005072,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.32167302769156,"{0: 12, 1: 6, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.90611853118037,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.443533625894155,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.45289014629499,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.70442846483184,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.37687500543396,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.5396114663773,"{0: 13, 1: 3, 2: 5, 3: 4, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.2205828197909,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-39.661474562384804,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-138.69264888710302,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,15,1.902474109038499,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-32.963151535811,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.877939003536056,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.3578883823159,"{0: 13, 1: 0, 2: 11, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.8546773807672,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-36.69609542176457,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-244.7734551671088,"{0: 9, 1: 3, 2: 8, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.01498883222584,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
